"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Thailand;705,484;744,913;767,41;824,445;845,08;772,393;840,315;967,712;1160,538;1338,257;1564,175;1769,043;1999,204;2209,362;2491,433;2846,59;3043,982;2468,182;1845,829;2033,26;2007,735;1893,264;2096,189;2359,116;2660,126;2893,221;3369,135;3972,98;4378,4;4213,097;5077,257;5492,981;5860,884;6168,196;5952,033;5838,399;5994,949;6593,517;7296,037;7811,477;7170,503;7237,504;7072,418;7335,637;7527,382;7754,143;8092,992;8470,417;8864,239;9270,715
Timor-Leste;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;420,946;539,594;520,99;534,192;471,231;483,242;462,124;538,952;628,632;689,276;819,147;947,257;1031;1213,652;1233,58;1332,672;1358,283;1309,352;1264,501;1611,123;1676,769;2764,355;2406,607;1760,628;1453,881;1532,855;1614,81;1699,765;1789,614;1882,932
Togo;706,783;567,856;461,822;425,523;377,995;383,932;521,836;594,487;641,99;611,524;715,236;686,607;699,731;536,718;414,629;523,522;550,724;542,959;499,32;486,879;402,18;388,651;435,683;526,449;547,7;539,198;540,082;621,808;735,775;737,152;722,819;803,341;782,049;847,4;877,419;770,221;792,222;813,108;873,964;848,341;876,511;964,325;919,575;1001,112;1051,216;1099,251;1158,76;1215,265;1275,942;1340,643
Tonga;770,303;850,554;843,209;818,461;854,275;802,926;959,286;1037,126;1213,22;1461,359;1498,504;1750,858;1832,835;1884,492;1948,137;2123,283;2228,293;2263,661;2153,245;2017,943;2066,545;1819,632;1828,634;2015,247;2288,897;2581,93;2865,259;2919,693;3360,507;3040,244;3561,484;4014,77;4153,205;3985,691;3962,922;3927;3791,749;4140,997;4330,348;4434,799;4438,581;4576,702;4756,066;5218,576;5483,29;5756,527;6009,924;6241,691;6482,631;6720,969
Trinidad and Tobago;5847,707;6454,418;7393,152;6939,437;6831,216;6411,214;4121,173;4085,591;3798,754;3625,717;4221,813;4392,869;4474,142;3743,583;4027,423;4322,255;4658,874;4632,813;4872,619;5479,934;6545,953;7046,379;7162,514;8931,032;10442,168;12471,953;14280,042;16765,857;21448,701;14777,395;16957,433;19300,833;20325,911;21208,309;21799,068;19722,777;17220,758;17369,342;17677,747;17043,863;14868,061;17412,427;21252,661;19718,195;19703,041;20376,315;20681,952;21120,132;21704,633;22308,936
Tunisia;1482,823;1390,414;1309,899;1322,84;1286,6;1271,845;1312,226;1382,408;1411,506;1386,015;1716,723;1769,744;2070,007;1903,681;1997;2261,968;2411,883;2318,983;2407,491;2505,878;2322,277;2365,245;2460,779;2897,197;3265,224;3350,785;3536,507;3963,791;4519,745;4333,153;4343,057;4471,694;4345,815;4419,705;4511,282;4060,695;3890,127;3656,508;3661,194;3556,377;3569,972;3895,114;3676,784;3967,481;4266,985;4396,179;4527,928;4538,987;4550,534;4587,309
Turkmenistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;395,233;2207,35;1822,091;2304,517;916,043;1016,002;1069,86;1424,366;1833,159;2502,842;3107,479;4038,502;4966,204;5943,36;7320,7;8780,474;7189,293;6670,904;6675,041;8284,783;9205,83;9147,926;9924,593;7794,133;7306,006;7690,915;8128,406;8611,769;8381,012;9608,222;12123,362;11926,706;12713,274;13656,608;14704,003;15876,52;17178,968;18617,825
Tuvalu;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1742,203;2076,475;2386,392;2349,511;2465,078;2866,924;3187,958;2760,059;3134,201;3778,686;3610,431;3616,592;3605,169;3437,386;3867,747;4312,308;4547,987;5276,537;5162,322;6080,313;6009,779;6694,759;7190,27;7712,927;8119,688;8542,413;8958,743;9380,571
Turkiye, Republic of;2133,685;2113,068;1876,637;1753,332;1668,464;1835,181;1983,05;2260,66;2333,225;2707,896;3738,161;3691,37;3818,769;4261,644;3026,717;3880,859;4099,228;4221,923;4412,53;3980,444;4219,375;3087,619;3586,498;4711,312;5984,74;7330,763;7921,012;9676,029;10946,357;8978,828;10545,466;11213,588;11605,389;12496,576;12097,461;11011,472;10890,235;10629,988;9727,66;9144,221;8576,486;9540,539;10621,485;13235,882;15665,943;16876,538;17048,692;17982,617;18988,905;20088,297
Uganda;664,574;1044,13;703,042;779,82;581,032;514,181;494,509;768,935;767,651;599,952;472,193;238,48;216,036;247,107;346,255;401,893;401,413;423,918;402,455;370,515;355,466;347,812;361,953;361,772;430,758;483,032;527,739;634,361;784,496;815,808;808,713;872,039;950,574;964,833;1008,018;848,69;826,904;838,495;879,044;951,537;919,329;1007,258;1079,393;1123,325;1186,529;1303,888;1450,248;1497,467;1561,943;1671,361
Ukraine;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;427,863;677,261;740,97;752,339;914,348;1037,893;874,265;664,99;664,376;784,864;885,315;1055,946;1374,656;1839,515;2319,286;3101,388;3944,724;2557,279;2982,814;3587,405;3874,152;4051,42;3119,576;2134,773;2200,851;2654,483;3119,301;3693,498;3780,393;4875,094;4661,561;5241,316;5504,886;5758,992;6067,401;6412,086;6801,887;7237,772
United Arab Emirates;41311,881;42237,276;36927,264;32717,479;29957,847;27912,523;21198,712;22345,786;19032,876;21142,453;27484,598;25577,028;25833,806;25033,005;25737,492;26309,298;29821,12;29909,645;26571,562;27833,669;34386,178;32621,364;32790,74;35017,316;39301,136;43983,848;44313,566;41466,918;39073,38;30920,369;36324,592;42986,879;45108,027;46207,448;47063,628;41422,602;40483,337;41971,753;45591,68;43981,612;37648,953;43438,527;48897,383;48140,644;49549,588;51294,323;53888,87;56613,488;59476,918;62519,188
United Kingdom;10734,896;10439,364;9936,331;9463,11;8951,397;9498,885;11555,907;14331,774;17388,88;17653,75;20913,04;21738,274;22394,494;20015,28;21460,02;23171,12;24432,614;26772,972;28283,064;28768,448;28337,638;27916,906;30127,493;34480,168;40410,653;42143,874;44589,681;50419,848;47884,16;38892,333;39641,869;42106,64;42501,709;43469,644;47468,211;44978,619;41114,514;40617,562;43275,096;42712,614;40230,545;46731,477;46103,227;49647,559;52423,294;54279,939;56143,833;58124,711;60332,159;62753,333
United States;12552,943;13948,701;14404,994;15513,679;17086,441;18199,32;19034,766;20000,968;21375,999;22814,077;23847,977;24302,776;25392,931;26364,192;27674,021;28671,48;29946,973;31440,087;32833,666;34496,241;36312,782;37101,453;37945,761;39405,354;41641,617;44034,256;46216,853;47943,353;48470,553;47102,428;48586,288;50008,108;51736,738;53363,904;55263,817;57006,926;58179,697;60292,978;63165,278;65561,32;64461,618;71257,958;77979,858;82715,1;86601,28;89677,894;92785,854;96070,128;99467,876;102986,97
Uruguay;4157,553;4608,557;3743,307;2041,642;1929,09;1873,063;2312,365;2876,92;2958,929;3101,177;3588,34;4299,367;4911,064;5683,683;6557,811;7207,021;7612,913;7959,731;8364,608;7847,88;7432,339;6803,597;4441,095;3941,678;4476,943;5663,499;6377,451;7622,824;9857,304;10232,122;12943,943;15341,308;16325,41;18271,525;18109,936;16791,911;16544,81;18626,981;18645,281;17686,109;15198,839;17149,709;19737,342;21656,979;23053,261;24080,444;25120,554;26252,511;27480,065;28735,054
Uzbekistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;209,573;315,613;366,873;561,752;754,528;772,325;773,322;868,991;702,209;587,633;481,995;499,329;585,221;689,391;811,157;1048,715;1324,54;1523,417;1777,487;2067,524;2284,525;2440,258;2651,384;2761,29;2712,808;2170,054;1797,362;2023,534;1959,678;2237,92;2555,187;2819,823;3050,82;3379,399;3668,771;3955,022;4275,424;4634,744
Vanuatu;1053,849;956,137;930,89;931,689;1111,403;976,747;918,675;989,126;1092,048;1054,904;1141,043;1333,385;1357,696;1277,011;1422,849;1479,565;1511,705;1537,62;1441,112;1435,664;1422,228;1317,091;1313,463;1542,059;1743,287;1824,505;1985,275;2308,554;2540,715;2519,625;2719,254;3007,564;2934,853;2940,193;2947,953;2771,657;2844,132;3158,901;3256,353;3187,38;3341,002;2951,692;3219,361;3364,838;3387,16;3400,513;3425,599;3463,788;3485,663;3507,677
Venezuela;4671,078;5085,58;5041,589;4883,234;3447,45;3472,186;3488,564;2619,24;3292,792;2378,158;2492,939;2685,293;2968,496;2876,077;2741,979;3559,77;3174,631;3778,537;3970,433;4133,37;4820,646;4963,916;3778,255;3266,095;4311,999;5421,656;6646,803;8538,102;11079,069;9557,55;11158,18;10934,275;12688,11;8692,955;7107,443;4096,971;3676,384;3806,656;3529,72;2624,41;1566,602;2090,398;3421,754;3737,81;4018,595;4121,901;no data;no data;no data;no data
Vietnam;652,593;318,521;414,347;612,565;1044,409;318,956;705,99;856,91;464,581;123,364;121,715;141,111;178,973;234,983;285,953;358,661;419,063;449,338;448,119;465,248;498,579;513,197;546,555;610,357;756,981;873,136;996,255;1152,267;1446,562;1481,442;1628,013;1949,826;2197,619;2369,973;2566,854;2581,907;2720,168;2957,899;3216,254;3439,102;3548,892;3756,885;4101,73;4324,049;4649,054;4985,933;5326,369;5684,55;6055,508;6425,342
West Bank and Gaza;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1227,237;1322,057;1296,081;1350,947;1416,578;1441,889;1412,75;1275,685;1102,5;1197,161;1350,906;1461,093;1480,704;1563,701;1913,316;2061,558;2406,261;2711,917;2888,598;3122,985;3158,599;3084,132;3325,846;3407,307;3353,225;3442,754;3044,744;3464,383;3579,222;3180,667;no data;no data;no data;no data;no data;no data
Yemen;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;963,773;1075,877;1268,268;1477,991;1835,045;807,991;396,847;405,612;364,22;427,779;526,881;521,697;551,194;591,218;677,899;796,361;881,275;970,82;1170,964;1061,415;1267,555;1303,586;1369,687;1519,342;1579,558;1508,382;1083,887;905,181;710,384;702,286;633,311;594,151;706,25;551,953;464,893;455,459;499,915;566,274;604,408;632,911
Zambia;764,919;764,864;715,135;598,533;477,314;439,344;293,871;353,589;578,18;597,885;542,462;475,448;452,218;431,614;431,567;437,482;404,235;471,141;377,518;353,893;364,026;379,713;399,099;452,287;556,05;720,204;1066,02;1133,672;1393,78;1151,193;1469,239;1644,13;1729,58;1840,665;1724,805;1307,536;1250,324;1495,751;1475,2;1268,125;958,265;1134,713;1454,826;1369,129;1226,095;1466,458;1651,743;1798,6;1895,31;1986,961
Zimbabwe;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1036,512;936,243;748,634;702,424;714,016;717,076;849,858;881,204;1029,18;1003,813;969,803;964,06;922,858;822,455;806,88;764,616;677,867;646,544;553,364;790,335;975,823;1131,829;1310,354;1421,549;1414,992;1418,306;1429,829;1502,576;2466,78;1705,022;1725,017;2264,653;2004,28;2119,318;2113,811;2127,493;2097,713;2102,496;2092,745;2083,147
Africa (Region);no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1101,846;989,354;959,833;933,271;890,529;1033,167;1125,779;1139,729;1124,487;910,23;909,291;860,262;857,922;1010,038;1180,775;1351,25;1522,994;1725,56;1967,732;1828,134;2080,596;2265,166;2353,354;2380,069;2409,336;2143,662;1985,83;1949,48;2026,239;2042,271;1913,664;2085,169;2196,816;2050,144;1940,614;1923,667;2020,567;2104,787;2197,835;2288,223
Asia and Pacific;969,152;1017,806;971,722;1014,468;1056,934;1057,513;1319,608;1537,295;1800,764;1839,283;1883,157;2042,632;2157,93;2392,824;2553,44;2858,749;2749,388;2607,159;2295,235;2515,782;2661,148;2452,195;2473,246;2728,088;3041,463;3252,098;3444,51;3895,553;4360,288;4430,386;5119,323;5830,897;6127,09;6157,797;6318,201;6207,264;6394,719;6788,864;7226,639;7341,717;7306,887;8302,331;8239,051;8310,08;8632,683;9179,274;9703,331;10236,928;10805,289;11371,155
Australia and New Zealand;10357,075;11666,243;11406,27;10822,867;11622,753;10288,114;10763,64;12698,642;15816,846;17358,846;17978,563;17622,047;17046,666;16629,922;18884,145;20252,52;22382,401;22214,113;19461,391;20691,822;19756,777;18528,013;20696,426;26141,379;31505,455;34756,085;35997,065;42982,096;46311,459;42893,23;52781,301;62528,147;63841,89;61534,725;58860,38;49332,453;49810,66;53638,09;54208,872;52410,973;51278,422;61787,506;62549,224;61759,069;62867,346;64729,452;66703,042;68412,779;70364,672;72549,742
Caribbean;1538,981;1650,366;1802,938;1772,184;1754,226;1765,723;1655,478;1534,66;1531,401;1616,003;1735,167;1704,056;1662,361;1690,268;1889,126;2262,124;2409,429;2566,72;2724,68;2864,05;2971,467;2960,578;3034,878;3101,016;3398,53;3802,752;4104,946;4587,761;5109,368;4442,004;4700,885;5033,629;5243,853;5322,712;5374,671;5208,359;4858,336;5001,009;5177,21;5075,921;4378,303;5187,786;6105,011;6326,415;7141,123;7552,393;7957,067;8146,558;8373,962;8626,234
Central America;1308,867;1267,12;1247,073;1270,785;1462,544;1226,056;1112,429;1155,527;1134,781;1241,266;1152,525;1302,702;1447,676;1561,107;1589,248;1732,341;1814,446;1938,768;2058,055;2045,422;2129,598;2203,157;2281,674;2197,641;2311,466;2726,033;2943,733;3300,852;3662,162;3605,644;3954,157;4377,129;4646,982;4863,042;5118,167;5409,646;5636,256;5891,809;6046,159;6194,829;5667,485;6392,904;7135,675;7833,167;8238,215;8675,623;9148,249;9648,337;10177,059;10732,577
Central Asia and the Caucasus;2133,685;2113,068;1876,637;1753,332;1668,464;1835,181;1983,05;2260,66;2333,225;2707,896;3738,161;no data;1909,923;2237,23;1669,182;2181,107;2337,964;2431,006;2535,228;2315,568;2441,644;no data;1946,036;2482,322;3143,834;3867,535;4362,956;5412,977;6224,707;5240,247;6159,812;6827,492;7124,882;7643,604;7418,711;6556,561;6126,712;6097,845;5763,976;5580,195;5206,475;5802,689;6604,129;7790,224;10871,173;11595,376;11859,703;12500,687;13168,416;13897,912
East Asia;1348,87;1431,255;1340,746;1443,276;1510,485;1559,464;2107,477;2509,711;3019,973;3068,094;3081,26;3458,479;3777,319;4278,668;4602,805;5163,456;4819,456;4533,984;4113,549;4589,19;4940,143;4550,869;4542,112;4924,694;5427,562;5707,868;5931,429;6521,09;7426,823;7752,151;8810,723;10112,021;10773,434;10815,81;11219,398;11255,117;11644,792;12310,884;13407,718;13681,669;13971,948;15947,064;15440,815;15413,813;15696,302;16775,561;17798,205;18783,609;19818,262;20796,69
Eastern Europe ;2063,921;2175,798;2332,853;2341,23;2241,265;2207,106;2267,738;2309,591;2727,925;no data;no data;no data;943,942;1439,799;1907,219;2360,318;2695,72;2773,58;2432,309;2104,298;2297,182;2613,698;2971,422;3643,98;4660,765;5725,324;6966,506;9033,416;11321,008;8865,879;10054,356;11923,772;12104,046;12668,364;11927,637;8989,88;8821,666;10310,243;11273,311;11597,061;10949,508;13165,748;14908,981;15255,34;16393,826;17074,289;17821,089;18593,784;19414,049;20215,509
Europe;8996,787;8064,917;7786,633;7567,322;7257,628;7494,103;10060,783;12329,86;13763,218;no data;no data;no data;13238,289;12165,364;13075,955;14826,554;15174,58;14380,191;14633,299;14381,644;13522,255;13756,814;15038,862;18247,326;21179,585;22414,141;24196,958;28152,066;30894,87;27102,052;27504,855;30239,316;28886,023;30053,946;30483,653;26115,816;26054,786;27676,938;29802,864;29384,821;28418,705;32682,47;32926,367;35027,282;36750,646;38265,581;39687,997;41028,6;42466,036;43945,605
Middle East (Region);5308,818;5645,215;5327,945;5244,088;4994,41;4838,621;4774,92;5591,054;5765,832;6364,739;7850,772;5388,024;3296,696;3519,598;3756,044;4126,424;4654,189;4894,957;4750,497;5414,318;6548,09;6106,671;4741,999;4551,436;5313,463;6339,802;7273,309;8400,034;10217,539;8868,407;10286,198;13362,515;12923,858;13097,195;13083,588;11101,826;10976,305;11598,388;11995,173;11469,448;9739,753;11718,433;14057,643;13278,01;13696,165;13964,038;14547,692;15108,087;15661,685;16240,568
North Africa;1623,809;1513,39;1524,124;1551,099;1562,927;1685,62;1698,076;1905,792;1949,168;2137,763;2137,96;1592,622;1588,413;1551,637;1513,237;1632,108;1777,56;1791,062;1810,659;1881,486;1948,492;1877,183;1707,256;1871,775;2081,764;2350,728;2673,079;3067,985;3715,867;3462,616;3853,96;4036,832;4512,816;4451,252;4446,209;4109,538;4008,74;3502,914;3648,273;3827,942;3810,207;4130,694;4497,994;4201,321;4249,424;4121,977;4352,677;4574,107;4812,844;5062,301
North America;10483,357;11723,778;11755,483;12435,646;13622,922;14408,215;14767,222;15578,156;16792,784;18005,159;18860,365;19327,753;20128,597;20967,889;21869,302;22120,169;23135,775;24398,054;25346,849;26732,824;28355,438;28964,359;29560,154;30700,311;32582,137;34695,188;36652,363;38241,552;38807,245;36909,334;38665,352;40145,213;41313,343;42475,975;43629,695;43876,868;44315,642;46045,654;48129,984;49734,415;48406,058;53921,249;58839,187;62362,194;64961,044;67000,511;69325,2;71768,231;74276,18;76850,711
Pacific Islands ;1417,746;1374,477;1282,722;1232,736;1162,073;1061,435;1134,678;1198,82;1485,684;1419,272;1320,28;1468,936;1581,204;1724,25;1868,455;1713,474;1788,731;1692,785;1308,662;1254,083;1192,748;1065,332;1045,497;1262,938;1427,847;1602,78;1733,157;1916,917;2192,591;2049,291;2317,874;2703,062;2976,122;2888,617;2993,091;2716,758;2554,735;2673,599;2708,503;2637,379;2384,365;2432,462;2821,855;2772,878;2827,499;2858,813;2898,415;2944,811;3003,655;3050,755
South America;2451,139;2406,259;1993,647;1829,79;1755,718;1899,624;2103,728;2189,614;2394,023;2574,197;2787,935;2809,802;2952,924;3134,357;3668,713;4515;4737,735;4960,413;4822,967;3834,744;3980,335;3609;2803,795;2984,85;3563,394;4498,797;5410,203;6656,623;8005,512;7629,879;9687,925;11231,205;11241,501;11088,287;10694,366;8637,391;8312,521;9338,144;8753,661;8260,919;6725,493;7772,199;8940,878;9652,153;9724,556;10012,31;10493,096;10952,22;11440,531;11941,092
South Asia;289,382;300,508;304,234;312,798;307,477;324,249;334,295;361,349;378,958;377,483;395,662;352,968;366,534;356,62;393,354;429,016;453,927;465,434;462,453;479,135;480,834;482,503;498,149;570,171;648,89;726,711;813,557;1005,655;1008,622;1084,076;1299,452;1409,702;1409,839;1429,16;1544,647;1596,704;1713,168;1929,68;1962,79;2008,689;1896,151;2197,359;2310,559;2382,347;2548,972;2751,828;2987,608;3247,807;3535,397;3852,342
Southeast Asia;776,974;767,274;799,039;803,125;893,281;747,622;759,634;804,425;821,395;855,178;950,321;1047,999;1169,796;1289,418;1449,287;1658,183;1808,251;1687,79;1027,675;1189,072;1251,24;1190,827;1310,752;1456,149;1625,034;1789,207;2115,787;2493,195;2865,248;2798,973;3417,549;3923,464;4112,505;4199,904;4194,197;4030,461;4173,806;4454,698;4728,03;4956,665;4672,053;5094,28;5440,86;5580,186;5805,038;6140,926;6513,45;6900,28;7321,925;7760,075
Sub-Saharan Africa (Region) ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;862,358;851,002;817,455;793,686;750,984;899,366;981,286;996,523;974,803;700,064;687,335;645,107;680,041;831,237;995,796;1148,04;1291,384;1458,284;1622,829;1508,333;1736,607;1925,356;1942,258;1988,74;2027,215;1777,322;1611,887;1661,364;1728,116;1717,308;1571,801;1720,768;1791,792;1675,963;1542,906;1548,712;1626,831;1692,336;1765,614;1834,331
Western Europe;10519,11;9361,676;8992,64;8730,673;8379,214;8680,025;11812,864;14586,741;16244,904;16454,072;20296,582;21462,576;23236,563;21031,188;22256,309;25469,76;25893,22;24298,205;25003,877;24994,731;23159,496;23240,69;25198,214;30420,389;34819,515;36052,343;38153,634;43506,759;46476,34;41531,519;41229,002;44558,754;41955,204;43550,462;44833,446;39301,133;39259,798;40927,629;43872,644;42823,68;41548,775;47216,484;45956,584;49197,392;51216,451;53196,978;55055,52;56711,485;58479,975;60333,628
Western Hemisphere (Region);6737,142;7367,594;7200,267;7476,93;8063,371;8510,365;8753,613;9192,159;9889,827;10582,97;11065,843;11307,193;11773,155;12273,486;12884,918;13360,79;13937,082;14666,521;15081,179;15352,59;16203,438;16340,618;16292,381;16925,029;18113,136;19587,953;20966,281;22317,753;23198,079;22063,703;23828,403;25243,707;25839,603;26357,585;26769,611;26017,369;26089,954;27390,372;28193,853;28773,235;27400,203;30616,704;33619,906;35738,177;37116,119;38272,662;39646,764;41066,854;42537,067;44048,981
ASEAN-5;805,418;866,53;885,289;845,602;862,837;817,233;780,527;806,567;912,212;1023,486;1141,981;1256,296;1399,414;1538,094;1726,297;1967,975;2143,223;1988,208;1282,55;1496,914;1572,873;1487,217;1644,355;1821,319;2010,935;2199,396;2607,651;3073,987;3491,225;3387,587;4177,256;4743,028;4931,815;5000,829;4940,628;4719,573;4888,923;5213,712;5512,153;5770,891;5352,052;5898,777;6313,052;6451,593;6684,715;7064,445;7487,758;7923,253;8401,071;8899,161
Advanced economies;10309,681;10394,383;10251,983;10604,295;11027,811;11545,309;14017,976;16205,839;18189,728;18843,572;20974,314;22207,102;23457,179;23293,962;24860,926;26959,233;26982,05;26293,529;26226,494;27467,656;27773,815;27315,735;28323,312;31584,903;34837,574;36443,208;38089,499;41337,314;43376,217;40690,875;42283,714;45166,857;44783,725;45035,941;45884,333;43218,439;44163,971;45912,083;48383,479;48689,799;47694,982;53216,827;54172,149;56926,498;58998,011;61420,966;63724,959;65957,605;68315,103;70668,695
Emerging and Developing Asia;360,183;351,149;351,549;364,767;376,496;359,091;360,945;387,376;424,521;444,214;439,093;435,347;484,836;539,889;554,673;653,355;728,731;745,812;670,383;726,057;769,247;801,649;867,821;978,146;1121,373;1280,826;1506,029;1885,692;2246,199;2418,619;2884,733;3421,378;3731,647;4043,478;4326,617;4461,328;4543,004;4950,252;5414,074;5601,169;5629,621;6583,922;6691,891;6727,079;6955,798;7423,253;7922,388;8422,13;8947,704;9490,396
Emerging and Developing Europe;2089,093;2152,929;2164,789;2122,689;2026,148;2066,026;2158,702;2290,672;2573,753;no data;no data;no data;1370,787;1847,012;2020,172;2424,717;2733,466;2837,161;2532,669;2171,754;2405,54;2466,774;2799,567;3468,4;4476,579;5576,081;6660,985;8561,873;10554,012;8216,722;9573,714;11202,389;11535,337;12157,655;11416,959;8832,9;8623,362;9722,007;10174,002;10302,711;9640,649;11467,532;13111,483;13762,895;15206,805;15926,741;16472,194;17227,088;18031,289;18837,31
Emerging market and developing economies;888,004;912,017;845,866;814,996;800,395;794,527;797,2;861,065;931,215;997,333;1071,097;995,545;956,505;1070,057;1133,708;1279,54;1405,486;1465,873;1380,877;1318,378;1423,301;1410,435;1377,147;1527,218;1788,734;2108,916;2462,758;2992,896;3545,661;3341,52;3962,584;4623,317;4820,918;5044,846;5137,338;4764,537;4704,787;5084,776;5361,121;5411,724;5145,356;5976,683;6330,685;6409,493;6651,611;6954,323;7326,645;7704,838;8100,705;8504,674
Euro area;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;19409,002;21326,661;19294,965;20311,481;23914,239;24231,61;21715,003;22071,318;22087,955;20085,141;20328,31;22087,604;27075,605;30882,166;31889,335;33743,431;38702,328;42336,318;38541,327;37648,727;40694,454;37645,368;39217,705;39973,997;34474,778;35201,579;37207,662;40137,623;39260,608;38166,879;42939,419;41492,701;44850,991;46635,066;48516,445;50277,691;51750,043;53293,627;54905,968
European Union;8542,893;7516,001;7261,617;7080,547;6804,03;6991,875;9566,316;11698,391;12885,802;13064,833;15981,414;16957,572;18205,434;16320,371;17297,091;19565,972;19862,831;18221,148;18762,198;18664,972;17107,372;17347,611;18921,118;23193,404;26572,598;27665,339;29440,469;33997,609;37520,056;33923,488;33462,899;36173,591;33552,278;35006,423;35795,2;30934,036;31613,76;33550,337;36257,912;35527,024;34755,534;39397,048;38209,737;41622,824;43352,743;45240,43;47019,59;48565,001;50163,583;51835,228
Latin America and the Caribbean;2557,078;2706,71;2165,207;1924,126;1963,856;2068,96;2002,905;2092,207;2319,933;2558,624;2801,915;2956,218;3183,842;3531,7;3917,665;4125,222;4386,737;4729,463;4703,603;4162,285;4473,799;4309,903;3774,379;3786,156;4283,032;5133,25;5949,301;6967,529;8009,892;7312,189;9005,365;10283,225;10333,281;10344,443;10136,942;8494,47;8099,423;8927,913;8639,406;8376,867;6964,378;8051,794;9153,934;10188,734;10368,57;10546,036;11036,509;11509,899;12009,948;12519,594
Major advanced economies (G7);11271,23;11549,519;11430,524;11999,862;12564,16;13248,578;15943,812;18223,785;20364,177;20990,358;23013,2;24444,391;26047,538;26372,418;28023,679;30374,24;30135,267;29560,569;29774,104;31221,276;31775,023;31213,073;31992,182;35118,04;38357,155;39820,717;41298,663;44099,826;45989,675;43574,092;45032,271;47649,254;47643,308;47501,556;48436,488;46276,144;47345,554;48816,38;51310,704;52084,426;50958,054;56236,273;57685,443;60923,727;63191,742;65777,804;68226,897;70633,701;73191,801;75731,446
Middle East and Central Asia;2106,017;2176,345;2098,712;2072,962;2036,618;2038,476;2019,6;2324,679;2380,834;2647,698;3164,48;2233,348;1362,803;1463,997;1515,184;1683,075;1874,309;1946,086;1912,627;2098,673;2416,979;2289,542;1832,788;1983,786;2330,535;2777,16;3239,621;3791,43;4576,448;4022,784;4618,813;5561,294;5500,333;5559,696;5558,85;4853,783;4689,403;4722,394;4836,667;4654,273;4083,568;4721,563;5577,515;5319,598;5768,82;5853,763;6100,551;6369,846;6645,257;6933,865
Other advanced economies;6900,178;6946,458;6811,908;6722,114;6973,903;6888,013;8320,418;10143,292;11840,737;12751,555;14526,538;15249,277;16094,083;15742,028;17493,697;18934,146;19988,739;19191,588;17152,11;18260,005;18706,859;17958,955;19416,938;22234,621;25258,234;27713,588;29788,538;33778,923;35264,88;32126,501;36754,457;41624,712;41627,171;42757,115;43222,866;39497,533;40009,714;42732,115;44698,252;43626,164;43282,452;50387,403;50255,43;50406,267;51720,64;53808,555;55915,057;57959,752;60057,918;62130,81
Sub-Saharan Africa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;905,25;892,336;855,411;826,927;780,443;933,681;1017,51;1030,627;1006,874;717,172;700,434;652,346;686,102;841,34;1007,752;1156,387;1293,143;1451,255;1618,736;1513,633;1741,57;1920,597;1964,392;2009,747;2044,058;1780,973;1609,296;1679,04;1765,081;1756,522;1601,096;1757,43;1833,624;1708,163;1576,76;1583,074;1660,201;1726,357;1800,714;1871,006
World;2867,257;2883,738;2779,713;2805,047;2855,367;2929,08;3386,477;3830,68;4234,565;4377,043;4703,521;4834,906;4811,918;4869,903;5149,375;5645,387;5714,278;5615,931;5471,008;5586,52;5691,086;5578,986;5670,744;6265,067;6964,142;7452,749;7974,065;8890,659;9636,81;9017,344;9745,433;10716,006;10767,079;10946,964;11103,317;10355,581;10401,425;10933,556;11483,725;11529,986;11125,66;12566,112;12975,982;13400,107;13898,443;14450,241;15038,841;15619,523;16230,797;16845,806
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IMF, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
